__label__Negative,  انخرب بيت العالم
__label__Negative,  بخصوص الطفل الضايع قريت للاسف اهلو تاركينو مو ساءلين عنو عندو اعاقه عقليه مره بيضيع بيرجعو وصل خبر لاهلو
__label__Negative,  بلا كمون وحبه سوده ما بنادر نعيش والله بنكوت موتت لكلاب لشاردي
__label__Negative,  بوكره جمعيه بتعطيهون واساطه
__label__Negative,  بيحرق القلب حتي بالشام اقرب زياره بقلب الشام التكسي بالف ليره وحتي طلع الواحد وزوجته واولاده بسرفيس بدو ليره المنطقه سرفيسين بضطر يحط حوال ليره لزياره وحده يارب رب حل عسيرها
__label__Negative,  بيستاهل ما بنسي اسعفنا الوالد علي مشفي اللاذقيه ولا طبيب مناوب بالاختصاص كلن ببيوتن
__label__Negative,  بيعطوا العامل محطه توليد حوافز لا تكفي شراء فرده حذاء لذلك فليتفضل مسءلو الحكومه بتشغيل المحطات فلم يعد يهمنا الامر
__label__Negative,  تتخالف غالي تعا شوف الفضايح حتصير بغلاغل
__label__Negative,  تحكوا المناسبات ختصروا الوجع وتحدثوا فقط هم المواطن بتامين قوت اليوم الواحد تري نمضي وجبات اليوم بتوقع الاغلبيه العظمه مستحيل تقدر تطبخ يوم ونقطه عالسطر بقي مناسبات تحكوا خليها لله احسن حتي سامحني رب الله مل معاد معنا يصف لعيدو وفرحو وزادون مال وعوضهون برزق الملايين لبزخوها وحطوها عبسطون خطي 😔 😔 😔
__label__Negative,  تصرف المرافقين للمصاب الطبيب اكبر غلط كمان تصرف الاطباء الممرضين المشافي العامه كمان اغلاط كبيره مو ملاءكه الكل يعرف هذا
__label__Negative,  تعو لاتخلون يخووورفو الطلاب الجداد
__label__Negative,  تنبيه
__label__Negative,  جانيت العلي حكي فاضي دخل كفربو بالنواعير هي مطحنه وهي مطحنه شوفك بقلك قالو للوزير
__label__Negative,  جري تنبيهه
__label__Negative,  جكر
__label__Negative,  جلال شريف محمد المعتدون بالضرب علي الطبيب مشفي المجتهد بدمشق قبضه العداله تناولت مواقع التواصل الاجتماعي مقطع فيديو يظهر شخصين يقومان بالاعتداء علي طبيب مشفي المجتهد بدمشق خلال التدقيق تبين انه بتاريخ اسعف مشفي المجتهد المصاب اثر تعرضه لحادث سير حيث تم تقديم الاسعافات الاوليه للمصاب تم طلب صوره طبقي محوري قبل الطبيب المعالج المشفي ليتمكن دراستها طبيا بدقه وعدم نقل المريض النقاله الاسعافيه سرير ضمن الاسعاف كون المريض يعاني عده كسور بالاضلاع عدد وكسر بالكتف الايسر حتي وصول نتيجه صوره الطبقي المحوري ليتكمن الطبيب تحريك المريض علي اساس نتيجه الصوره عندها حصلت ملاسنه كلاميه بين مرافقي المصاب والطبيب وقاموا بالتهجم وسبه وشتمه واللحاق به قسم العنايه الاسعافيه وضربه بحجه الطاقم الطبي تاخر بتقديم العلاج للمصاب القي القبض علي المدعوان قبل مركز شرطه مشفي دمشق المجتهد وتم تنظيم الضبط اللازم بحقهما واحالتهما القضاء المختص اصولا
__label__Negative,  حبيب المجموع بيختلف جمعن وبعدين الخط مشانو حاج خرط
__label__Negative,  حترق
__label__Negative,  حترقت لحلبوني كلها لماس ما شفتو
__label__Negative,  حتي الضريبه غلط
__label__Negative,  حريق الحلبوني مفتعل البناء قديم وحابيين يبنوا برج فندق الحراءق التانيه واح سبب الاكيد الحراءق مفتعله واسال التجار
__label__Negative,  حسن سلامه صرلن الضهر ما طفو الحريق
__label__Negative,  حكون صريح ليوم وقفت جنب الحريق وفرق الاطفاء علي اقل مهلون عميمدوا البربيش ويركبوا بعتقد لو عجله اكبر اقل خساءر شوي تجي سياره صهريج معبيه مي طيب المي بسياره الاطفاء
__label__Negative,  حكيك علفاضي وماحدا رادد لا ولا علي تعليقاتنا
__label__Negative,  حيوانات النضافه مابحاجه لتدريس حكومه قويه بلد متقدم
__label__Negative,  خدوه الليوان البوظه اطيب بكداش مو طيبه نازعها
__label__Negative,  خطا مطبعي
__label__Negative,  خلص العيد
__label__Negative,  شرير مااخدوني معن
__label__Negative,  صاحب الفاتوره لازم تقدم شكوي نظاميه لاتخلو الموضوع فقط الفيس ما تخالفوا بتصير حقهم
__label__Negative,  صاحبك سارق بفلات الجامع
__label__Negative,  صغحات كادبه
__label__Negative,  فلان ديكك
__label__Negative,  كلشي غالي الاكل والشرب غالي والفواتير الكهربا والماء ترتفع والمحروقات غاز وبانزبن ومازوت واسعار الادويه واسعار الدكاتره اسعار اللحوم والفروج الفواكه وما ننسي اجور الاتصالات المرتفعه جدا باقي الدول هي اهم ماعم تذكرو والمصروف يساوي اضعاف الدخل ياريت الحكومه ترفع الاجور والرواتب بما يتناسب المصروف والحاجات اليوميه
__label__Negative,  لا
__label__Negative,  لا بمخالفات ولا عقوبات ولا مءات السنين تغير الامه العربيه للاسف الضمير والشعور والاحساس هم يستطيعوا التغير فقط
__label__Negative,  لا تفرحو كتير بكري بيطلع شارع فارس الخوري ضلو اشهر يشتغلو كسرو الارصفه ضيقوها عملو لونها ازرق عملو طبقه زفت بسماكه نانومتر ما كملو الرصيف جهه الكراجات الحق يقال الجماعه جابو اعمده اناره ركبوها بدون كهرباء لا لمبات
__label__Negative,  لا حبيبي مو صحيح سرعه زايده كذب صحريج مازوت يكب وره وصاحبو مو منتبه عل اكتر حادث عل استراد اناكنت مسافر عل دير الزور وشفت الطريق والحوادث لا مازوت بل طريق الحكي الساعه بليل بل نبك ودير عطيه
__label__Negative,  لا دخلنا ولا استفدنا فخار يكسر بعضو
__label__Negative,  لا سبب بدون مسبب مو معناه تحل هالشي بهالمنظر كلشي بيعمل مريض حق عباطل المشفي ماملك وعالمنظر مامقبول والمشفي اله حرمته يروح ياخد حقه الطبيب بالشوارع مو بالمشفي وهالشخص نفسه بكون عمل الف واسكه لينجح ابنه بالنقل فلا يجي يطالب بدكاتره عباقره
__label__Negative,  لا نعرف القصه ولكن مشافينا احيانا ببفقد اعصابو الكادر بالمشفي تصل لمرحله الذل تماما
__label__Negative,  لا يقعد يلكس ترا بشرفي اكاضبو
__label__Negative,  لاء
__label__Negative,  لاحشاه الدكر لن يشرق فجر جديد طالما جمعه بالاتحاد وفجرينهومدرب
